City Name,Month-Year,PM25(ug/m),PM10(ug/m),NO2(PPM),SO2(PPM),O3(PPM),No of AQM Sensors/Environmental sensors deployed,Polluter or Not
Nagpur,18-Dec,62.93,69.61,0.037,0.012,0.041,Automotive Square,Polluter
Nagpur,18-Nov,55.5,62.81,0.023,0.015,0.037,Automotive Square,Not Polluter
Nagpur,18-Oct,32.47,36.53,0.018,0.021,0.036,Automotive Square,Not Polluter
Nagpur,18-Sep,25.76,28.82,0.016,0.03,0.029,Automotive Square,Not Polluter
Nagpur,18-Aug,16.9,18.76,0.015,0.033,0.026,Automotive Square,Not Polluter
Nagpur,18-Jul,22.46,24.8,0.019,0.029,0.034,Automotive Square,Not Polluter
Nagpur,18-Jun,,,,,,Automotive Square,Not Polluter
Nagpur,18-May,38.58,44.54,0.04,0.016,0.067,Automotive Square,Not Polluter
Nagpur,18-Apr,63.99,73.19,0.039,0.016,0.057,Automotive Square,Polluter
Nagpur,18-Mar,,,,,,Automotive Square,Not Polluter
Nagpur,18-Feb,,,,,,Automotive Square,Not Polluter
Nagpur,18-Jan,,,,,,Automotive Square,Not Polluter
Nagpur,17-Dec,,,,,,Automotive Square,Not Polluter
Nagpur,17-Nov,,,,,,Automotive Square,Not Polluter
Nagpur,17-Oct,,,,,,Automotive Square,Not Polluter
Nagpur,17-Sep,,,,,,Automotive Square,Not Polluter
Nagpur,17-Aug,,,,,,Automotive Square,Not Polluter
Nagpur,17-Jul,,,,,,Automotive Square,Not Polluter
Nagpur,17-Jun,,,,,,Automotive Square,Not Polluter
Nagpur,17-May,,,,,,Automotive Square,Not Polluter
Nagpur,17-Apr,,,,,,Automotive Square,Not Polluter
Nagpur,17-Mar,,,,,,Automotive Square,Not Polluter
Nagpur,17-Feb,,,,,,Automotive Square,Not Polluter
Nagpur,17-Jan,,,,,,Automotive Square,Not Polluter
Nagpur,18-Dec,102.83,114.06,0.004,0.044,0.026,Dighori Naka,Polluter
Nagpur,18-Nov,102.83,97.98,0.004,0.04,0.027,Dighori Naka,Polluter
Nagpur,18-Oct,63.95,72.93,0.006,0.033,0.028,Dighori Naka,Polluter
Nagpur,18-Sep,44.42,52.69,0.005,0.021,0.016,Dighori Naka,Not Polluter
Nagpur,18-Aug,35.09,41.3,0.07,0.021,0.008,Dighori Naka,Not Polluter
Nagpur,18-Jul,36.63,43.07,0.005,0.021,0.008,Dighori Naka,Not Polluter
Nagpur,18-Jun,,,,,,Dighori Naka,Not Polluter
Nagpur,18-May,40.13,47.53,0.022,0.033,0.048,Dighori Naka,Not Polluter
Nagpur,18-Apr,57.03,66.58,0.1,0.027,0.055,Dighori Naka,Polluter
Nagpur,18-Mar,,,,,,Dighori Naka,Not Polluter
Nagpur,18-Feb,,,,,,Dighori Naka,Not Polluter
Nagpur,18-Jan,,,,,,Dighori Naka,Not Polluter
Nagpur,17-Dec,,,,,,Dighori Naka,Not Polluter
Nagpur,17-Nov,,,,,,Dighori Naka,Not Polluter
Nagpur,17-Oct,,,,,,Dighori Naka,Not Polluter
Nagpur,17-Sep,,,,,,Dighori Naka,Not Polluter
Nagpur,17-Aug,,,,,,Dighori Naka,Not Polluter
Nagpur,17-Jul,,,,,,Dighori Naka,Not Polluter
Nagpur,17-Jun,,,,,,Dighori Naka,Not Polluter
Nagpur,17-May,,,,,,Dighori Naka,Not Polluter
Nagpur,17-Apr,,,,,,Dighori Naka,Not Polluter
Nagpur,17-Mar,,,,,,Dighori Naka,Not Polluter
Nagpur,17-Feb,,,,,,Dighori Naka,Not Polluter
Nagpur,17-Jan,,,,,,Dighori Naka,Not Polluter
Nagpur,18-Dec,119.46,135.76,3.518,1.82,2.065,Lalimli Square,Polluter
Nagpur,18-Nov,101.49,112.89,0.053,0.05,0.062,Lalimli Square,Polluter
Nagpur,18-Oct,75.5,84.75,0.051,0.06,0.064,Lalimli Square,Polluter
Nagpur,18-Sep,21.29,31.41,0.041,0.066,0.051,Lalimli Square,Not Polluter
Nagpur,18-Aug,15.0,25.0,0.038,0.082,0.04,Lalimli Square,Polluter
Nagpur,18-Jul,18.84,28.76,0.047,0.096,0.047,Lalimli Square,Polluter
Nagpur,18-Jun,,,,,,Lalimli Square,Not Polluter
Nagpur,18-May,144.41,149.25,0.067,0.089,0.086,Lalimli Square,Polluter
Nagpur,18-Apr,52.42,61.08,0.07,0.101,0.087,Lalimli Square,Polluter
Nagpur,18-Mar,,,,,,Lalimli Square,Not Polluter
Nagpur,18-Feb,,,,,,Lalimli Square,Not Polluter
Nagpur,18-Jan,,,,,,Lalimli Square,Not Polluter
Nagpur,17-Dec,,,,,,Lalimli Square,Not Polluter
Nagpur,17-Nov,,,,,,Lalimli Square,Not Polluter
Nagpur,17-Oct,,,,,,Lalimli Square,Not Polluter
Nagpur,17-Sep,,,,,,Lalimli Square,Not Polluter
Nagpur,17-Aug,,,,,,Lalimli Square,Not Polluter
Nagpur,17-Jul,,,,,,Lalimli Square,Not Polluter
Nagpur,17-Jun,,,,,,Lalimli Square,Not Polluter
Nagpur,17-May,,,,,,Lalimli Square,Not Polluter
Nagpur,17-Apr,,,,,,Lalimli Square,Not Polluter
Nagpur,17-Mar,,,,,,Lalimli Square,Not Polluter
Nagpur,17-Feb,,,,,,Lalimli Square,Not Polluter
Nagpur,17-Jan,,,,,,Lalimli Square,Not Polluter
Nagpur,18-Dec,108.2,127.4,0.089,0.044,0.06,Mankapur Square,Polluter
Nagpur,18-Nov,104.06,117.83,0.097,0.097,0.065,Mankapur Square,Polluter
Nagpur,18-Oct,67.47,78.56,0.118,0.041,0.065,Mankapur Square,Polluter
Nagpur,18-Sep,40.67,48.93,0.115,0.028,0.048,Mankapur Square,Polluter
Nagpur,18-Aug,28.36,33.33,0.108,0.022,0.036,Mankapur Square,Polluter
Nagpur,18-Jul,27.72,32.38,0.119,0.024,0.044,Mankapur Square,Polluter
Nagpur,18-Jun,,,,,,Mankapur Square,Not Polluter
Nagpur,18-May,43.41,51.73,0.144,0.05,0.104,Mankapur Square,Polluter
Nagpur,18-Apr,53.58,63.0,0.127,0.047,0.092,Mankapur Square,Polluter
Nagpur,18-Mar,83.78,95.58,0.107,0.052,0.083,Mankapur Square,Polluter
Nagpur,18-Feb,,,,,,Mankapur Square,Not Polluter
Nagpur,18-Jan,,,,,,Mankapur Square,Not Polluter
Nagpur,17-Dec,,,,,,Mankapur Square,Not Polluter
Nagpur,17-Nov,,,,,,Mankapur Square,Not Polluter
Nagpur,17-Oct,,,,,,Mankapur Square,Not Polluter
Nagpur,17-Sep,,,,,,Mankapur Square,Not Polluter
Nagpur,17-Aug,,,,,,Mankapur Square,Not Polluter
Nagpur,17-Jul,,,,,,Mankapur Square,Not Polluter
Nagpur,17-Jun,,,,,,Mankapur Square,Not Polluter
Nagpur,17-May,,,,,,Mankapur Square,Not Polluter
Nagpur,17-Apr,,,,,,Mankapur Square,Not Polluter
Nagpur,17-Mar,,,,,,Mankapur Square,Not Polluter
Nagpur,17-Feb,,,,,,Mankapur Square,Not Polluter
Nagpur,17-Jan,,,,,,Mankapur Square,Not Polluter
Nagpur,18-Dec,90.05,148.99,0.036,0.228,0.035,Old Katol Naka,Polluter
Nagpur,18-Nov,73.09,114.67,0.035,0.258,0.034,Old Katol Naka,Polluter
Nagpur,18-Oct,56.16,85.01,0.036,0.272,0.027,Old Katol Naka,Polluter
Nagpur,18-Sep,35.74,53.01,0.04,0.255,0.018,Old Katol Naka,Polluter
Nagpur,18-Aug,23.05,35.21,0.03,0.265,0.01,Old Katol Naka,Polluter
Nagpur,18-Jul,23.0,33.79,0.041,0.295,0.012,Old Katol Naka,Polluter
Nagpur,18-Jun,,,,,,Old Katol Naka,Not Polluter
